



---------------------------------------------
start:2024-07-06T17:33:36.068
---------------------------------------------




rank 17 | trajectory 1 of circuit 3 -- done
rank 13 | trajectory 188 of circuit 4 -- done
rank 17 | trajectory 123 of circuit 2 -- done
rank 9 | trajectory 181 of circuit 2 -- done
rank 25 | trajectory 53 of circuit 1 -- done
rank 21 | trajectory 18 of circuit 1 -- done
rank 19 | trajectory 179 of circuit 3 -- done
rank 15 | trajectory 93 of circuit 2 -- done
rank 12 | trajectory 128 of circuit 3 -- done
rank 10 | trajectory 180 of circuit 1 -- done
rank 19 | trajectory 78 of circuit 3 -- done
rank 15 | trajectory 164 of circuit 1 -- done
rank 5 | trajectory 107 of circuit 3 -- done
rank 13 | trajectory 114 of circuit 3 -- done
rank 23 | trajectory 32 of circuit 1 -- done
rank 14 | trajectory 76 of circuit 2 -- done
rank 16 | trajectory 28 of circuit 1 -- done
rank 3 | trajectory 131 of circuit 2 -- done
rank 23 | trajectory 146 of circuit 1 -- done
rank 14 | trajectory 171 of circuit 2 -- done
rank 18 | trajectory 6 of circuit 3 -- done
rank 4 | trajectory 43 of circuit 3 -- done
rank 3 | trajectory 107 of circuit 2 -- done
rank 10 | trajectory 188 of circuit 2 -- done
rank 12 | trajectory 9 of circuit 3 -- done
rank 11 | trajectory 168 of circuit 1 -- done
rank 0 | trajectory 170 of circuit 2 -- done
rank 13 | trajectory 117 of circuit 1 -- done
rank 3 | trajectory 21 of circuit 2 -- done
rank 25 | trajectory 123 of circuit 1 -- done
rank 4 | trajectory 47 of circuit 1 -- done
rank 16 | trajectory 177 of circuit 3 -- done
rank 22 | trajectory 97 of circuit 4 -- done
rank 14 | trajectory 128 of circuit 1 -- done
rank 25 | trajectory 31 of circuit 1 -- done
rank 23 | trajectory 83 of circuit 2 -- done
rank 23 | trajectory 21 of circuit 1 -- done
rank 1 | trajectory 102 of circuit 4 -- done
rank 2 | trajectory 85 of circuit 4 -- done
rank 5 | trajectory 57 of circuit 1 -- done
rank 25 | trajectory 160 of circuit 2 -- done
rank 1 | trajectory 87 of circuit 3 -- done
rank 20 | trajectory 5 of circuit 1 -- done
rank 25 | trajectory 143 of circuit 2 -- done
rank 3 | trajectory 114 of circuit 1 -- done
rank 6 | trajectory 38 of circuit 1 -- done
rank 22 | trajectory 100 of circuit 4 -- done
rank 7 | trajectory 110 of circuit 3 -- done
rank 7 | trajectory 118 of circuit 2 -- done
rank 24 | trajectory 152 of circuit 2 -- done
rank 4 | trajectory 162 of circuit 2 -- done
rank 17 | trajectory 134 of circuit 2 -- done
rank 23 | trajectory 11 of circuit 1 -- done
rank 14 | trajectory 182 of circuit 2 -- done
