┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 25 | trajectory 153 of circuit 94 -- done
rank 11 | trajectory 54 of circuit 96 -- done
rank 28 | trajectory 125 of circuit 99 -- done
rank 4 | trajectory 21 of circuit 95 -- done
rank 43 | trajectory 40 of circuit 99 -- done
rank 26 | trajectory 175 of circuit 92 -- done
rank 34 | trajectory 161 of circuit 96 -- done
rank 18 | trajectory 141 of circuit 95 -- done
rank 13 | trajectory 95 of circuit 98 -- done
rank 29 | trajectory 163 of circuit 97 -- done
rank 33 | trajectory 144 of circuit 90 -- done
rank 22 | trajectory 148 of circuit 88 -- done
rank 27 | trajectory 17 of circuit 92 -- done
rank 28 | trajectory 186 of circuit 100 -- done
rank 33 | trajectory 183 of circuit 95 -- done
rank 25 | trajectory 120 of circuit 98 -- done
rank 34 | trajectory 39 of circuit 95 -- done
rank 35 | trajectory 17 of circuit 95 -- done
rank 4 | trajectory 56 of circuit 99 -- done
rank 37 | trajectory 42 of circuit 95 -- done
rank 26 | trajectory 20 of circuit 97 -- done
rank 11 | trajectory 112 of circuit 96 -- done
rank 4 | trajectory 31 of circuit 97 -- done
rank 22 | trajectory 128 of circuit 95 -- done
rank 13 | trajectory 7 of circuit 89 -- done
rank 10 | trajectory 34 of circuit 94 -- done
rank 46 | trajectory 172 of circuit 99 -- done
rank 8 | trajectory 27 of circuit 100 -- done
rank 33 | trajectory 189 of circuit 91 -- done
rank 27 | trajectory 25 of circuit 90 -- done
rank 47 | trajectory 15 of circuit 98 -- done
rank 11 | trajectory 76 of circuit 99 -- done
rank 26 | trajectory 147 of circuit 89 -- done
rank 41 | trajectory 116 of circuit 93 -- done
rank 29 | trajectory 164 of circuit 98 -- done
rank 22 | trajectory 64 of circuit 94 -- done
rank 4 | trajectory 7 of circuit 90 -- done
rank 34 | trajectory 177 of circuit 92 -- done
rank 46 | trajectory 92 of circuit 98 -- done
rank 15 | trajectory 66 of circuit 94 -- done
rank 17 | trajectory 84 of circuit 99 -- done
rank 16 | trajectory 97 of circuit 97 -- done
rank 13 | trajectory 167 of circuit 99 -- done
rank 18 | trajectory 126 of circuit 92 -- done
rank 44 | trajectory 48 of circuit 100 -- done
rank 37 | trajectory 57 of circuit 92 -- done
rank 27 | trajectory 156 of circuit 93 -- done
rank 35 | trajectory 130 of circuit 99 -- done
rank 11 | trajectory 14 of circuit 99 -- done
rank 16 | trajectory 141 of circuit 98 -- done
rank 34 | trajectory 66 of circuit 95 -- done
rank 28 | trajectory 154 of circuit 98 -- done
rank 9 | trajectory 35 of circuit 94 -- done
rank 26 | trajectory 108 of circuit 91 -- done
rank 25 | trajectory 91 of circuit 94 -- done
rank 27 | trajectory 182 of circuit 91 -- done
rank 13 | trajectory 186 of circuit 99 -- done
rank 8 | trajectory 162 of circuit 90 -- done
rank 18 | trajectory 145 of circuit 92 -- done
rank 13 | trajectory 159 of circuit 87 -- done
rank 46 | trajectory 113 of circuit 97 -- done
rank 43 | trajectory 143 of circuit 98 -- done
rank 4 | trajectory 125 of circuit 93 -- done
rank 22 | trajectory 73 of circuit 97 -- done
rank 27 | trajectory 13 of circuit 97 -- done
rank 37 | trajectory 22 of circuit 94 -- done
rank 16 | trajectory 88 of circuit 100 -- done
rank 27 | trajectory 126 of circuit 91 -- done
rank 9 | trajectory 45 of circuit 89 -- done
rank 16 | trajectory 93 of circuit 88 -- done
rank 29 | trajectory 145 of circuit 94 -- done
rank 47 | trajectory 187 of circuit 98 -- done
rank 28 | trajectory 32 of circuit 92 -- done
rank 27 | trajectory 9 of circuit 97 -- done
rank 18 | trajectory 62 of circuit 94 -- done
rank 33 | trajectory 113 of circuit 93 -- done
rank 34 | trajectory 91 of circuit 95 -- done
rank 11 | trajectory 121 of circuit 96 -- done
rank 17 | trajectory 10 of circuit 97 -- done
rank 4 | trajectory 26 of circuit 88 -- done
rank 43 | trajectory 90 of circuit 94 -- done
rank 18 | trajectory 4 of circuit 94 -- done
rank 4 | trajectory 167 of circuit 100 -- done
rank 41 | trajectory 12 of circuit 100 -- done
rank 26 | trajectory 10 of circuit 96 -- done
rank 46 | trajectory 17 of circuit 91 -- done
rank 22 | trajectory 143 of circuit 83 -- done
rank 25 | trajectory 9 of circuit 98 -- done
rank 35 | trajectory 177 of circuit 97 -- done
rank 11 | trajectory 126 of circuit 98 -- done
rank 33 | trajectory 107 of circuit 89 -- done
rank 4 | trajectory 112 of circuit 94 -- done
rank 8 | trajectory 78 of circuit 97 -- done
rank 22 | trajectory 41 of circuit 92 -- done
rank 44 | trajectory 18 of circuit 98 -- done
rank 34 | trajectory 169 of circuit 98 -- done
rank 49 | trajectory 191 of circuit 97 -- done
rank 13 | trajectory 56 of circuit 86 -- done
rank 17 | trajectory 73 of circuit 99 -- done
rank 10 | trajectory 35 of circuit 95 -- done
rank 43 | trajectory 63 of circuit 97 -- done
rank 18 | trajectory 167 of circuit 96 -- done
rank 29 | trajectory 108 of circuit 93 -- done
