┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-05-30T17:00:30.011
---------------------------------------------




rank 1 | trajectory 146 of circuit 1 -- done
rank 1 | trajectory 74 of circuit 1 -- done
rank 1 | trajectory 156 of circuit 1 -- done
rank 1 | trajectory 42 of circuit 1 -- done
rank 0 | trajectory 173 of circuit 1 -- done
rank 1 | trajectory 288 of circuit 1 -- done
rank 1 | trajectory 238 of circuit 1 -- done
rank 1 | trajectory 356 of circuit 1 -- done
rank 1 | trajectory 200 of circuit 1 -- done
rank 1 | trajectory 192 of circuit 1 -- done
rank 1 | trajectory 40 of circuit 1 -- done
rank 1 | trajectory 224 of circuit 1 -- done
rank 1 | trajectory 210 of circuit 1 -- done
rank 0 | trajectory 375 of circuit 1 -- done
rank 1 | trajectory 188 of circuit 1 -- done
rank 1 | trajectory 354 of circuit 1 -- done
rank 0 | trajectory 201 of circuit 1 -- done
rank 1 | trajectory 232 of circuit 1 -- done
rank 0 | trajectory 85 of circuit 1 -- done
rank 1 | trajectory 328 of circuit 1 -- done
rank 1 | trajectory 204 of circuit 1 -- done
rank 1 | trajectory 38 of circuit 1 -- done
rank 1 | trajectory 152 of circuit 1 -- done
rank 1 | trajectory 342 of circuit 1 -- done




---------------------------------------------
complete:2024-06-01T00:16:56.567
---------------------------------------------




