



---------------------------------------------
start:2024-07-05T00:07:28.471
---------------------------------------------




rank 24 | trajectory 2125 of circuit 1 -- done
rank 3 | trajectory 3743 of circuit 1 -- done
rank 11 | trajectory 2046 of circuit 1 -- done
rank 16 | trajectory 2464 of circuit 1 -- done
rank 15 | trajectory 2064 of circuit 2 -- done
rank 24 | trajectory 2709 of circuit 1 -- done
rank 11 | trajectory 1829 of circuit 1 -- done
rank 16 | trajectory 1656 of circuit 1 -- done
rank 20 | trajectory 832 of circuit 1 -- done
rank 4 | trajectory 2527 of circuit 1 -- done
rank 15 | trajectory 2447 of circuit 1 -- done
rank 22 | trajectory 3508 of circuit 1 -- done
rank 4 | trajectory 1502 of circuit 2 -- done
rank 15 | trajectory 1706 of circuit 2 -- done
rank 22 | trajectory 1108 of circuit 1 -- done
rank 21 | trajectory 3158 of circuit 2 -- done
rank 20 | trajectory 32 of circuit 3 -- done
rank 20 | trajectory 3774 of circuit 1 -- done
rank 4 | trajectory 3594 of circuit 3 -- done
rank 16 | trajectory 3814 of circuit 3 -- done
rank 8 | trajectory 1203 of circuit 2 -- done
rank 4 | trajectory 3394 of circuit 2 -- done
rank 4 | trajectory 1652 of circuit 2 -- done
rank 19 | trajectory 1532 of circuit 3 -- done
rank 22 | trajectory 2308 of circuit 2 -- done
rank 4 | trajectory 3010 of circuit 1 -- done
rank 4 | trajectory 1902 of circuit 2 -- done
rank 18 | trajectory 1607 of circuit 1 -- done
rank 1 | trajectory 926 of circuit 1 -- done
rank 7 | trajectory 1728 of circuit 3 -- done
rank 5 | trajectory 902 of circuit 1 -- done
rank 4 | trajectory 2294 of circuit 3 -- done
rank 16 | trajectory 2798 of circuit 2 -- done
rank 17 | trajectory 1631 of circuit 2 -- done
rank 24 | trajectory 1084 of circuit 1 -- done
rank 20 | trajectory 1482 of circuit 3 -- done
rank 22 | trajectory 3008 of circuit 1 -- done
rank 3 | trajectory 2860 of circuit 1 -- done
rank 19 | trajectory 2899 of circuit 1 -- done
rank 22 | trajectory 1433 of circuit 1 -- done
rank 18 | trajectory 2782 of circuit 3 -- done
rank 20 | trajectory 757 of circuit 1 -- done
rank 18 | trajectory 3532 of circuit 1 -- done
rank 22 | trajectory 1908 of circuit 2 -- done
rank 4 | trajectory 2894 of circuit 2 -- done
rank 20 | trajectory 332 of circuit 3 -- done
rank 21 | trajectory 833 of circuit 2 -- done
rank 20 | trajectory 257 of circuit 2 -- done
rank 16 | trajectory 3281 of circuit 1 -- done
rank 22 | trajectory 1483 of circuit 3 -- done
rank 21 | trajectory 1058 of circuit 1 -- done
rank 20 | trajectory 1332 of circuit 1 -- done
rank 15 | trajectory 3047 of circuit 1 -- done
rank 4 | trajectory 2477 of circuit 1 -- done
rank 8 | trajectory 53 of circuit 1 -- done
rank 21 | trajectory 2174 of circuit 1 -- done
rank 23 | trajectory 2675 of circuit 1 -- done
rank 4 | trajectory 3227 of circuit 3 -- done
rank 0 | trajectory 3576 of circuit 1 -- done
rank 7 | trajectory 2645 of circuit 3 -- done
rank 22 | trajectory 1658 of circuit 1 -- done
rank 11 | trajectory 3679 of circuit 1 -- done
rank 7 | trajectory 2695 of circuit 1 -- done
rank 18 | trajectory 2982 of circuit 2 -- done
rank 11 | trajectory 1429 of circuit 1 -- done
rank 20 | trajectory 2191 of circuit 3 -- done
rank 12 | trajectory 1830 of circuit 2 -- done
rank 4 | trajectory 1802 of circuit 3 -- done
rank 4 | trajectory 3660 of circuit 1 -- done
rank 16 | trajectory 3081 of circuit 2 -- done
rank 4 | trajectory 3427 of circuit 2 -- done
rank 4 | trajectory 2977 of circuit 3 -- done
rank 20 | trajectory 1807 of circuit 1 -- done
rank 7 | trajectory 3145 of circuit 1 -- done
